,nameWithOwner,url,stargazers,releases,age
287,DroidPluginTeam/DroidPlugin,https://github.com/DroidPluginTeam/DroidPlugin,6632,2,6
288,KunMinX/Jetpack-MVVM-Best-Practice,https://github.com/KunMinX/Jetpack-MVVM-Best-Practice,6611,0,1
289,naman14/Timber,https://github.com/naman14/Timber,6610,5,6
290,abel533/Mapper,https://github.com/abel533/Mapper,6597,2,6
291,seven332/EhViewer,https://github.com/seven332/EhViewer,6577,97,7
292,yanzhenjie/AndPermission,https://github.com/yanzhenjie/AndPermission,6546,0,4
293,NLPchina/elasticsearch-sql,https://github.com/NLPchina/elasticsearch-sql,6491,165,7
294,uber/RIBs,https://github.com/uber/RIBs,6470,4,3
295,Exrick/xmall,https://github.com/Exrick/xmall,6403,0,4
296,apache/dolphinscheduler,https://github.com/apache/dolphinscheduler,6390,17,2
297,Angel-ML/angel,https://github.com/Angel-ML/angel,6383,19,4
298,zendesk/android-floating-action-button,https://github.com/zendesk/android-floating-action-button,6343,0,6
299,yuanguangxin/LeetCode,https://github.com/yuanguangxin/LeetCode,6296,0,1
300,koush/ion,https://github.com/koush/ion,6281,0,8
301,apache/storm,https://github.com/apache/storm,6272,0,7
302,vinc3m1/RoundedImageView,https://github.com/vinc3m1/RoundedImageView,6245,19,8
303,json-path/JsonPath,https://github.com/json-path/JsonPath,6239,7,10
304,gocd/gocd,https://github.com/gocd/gocd,6226,68,7
305,GrenderG/Toasty,https://github.com/GrenderG/Toasty,6226,19,4
306,lenve/VBlog,https://github.com/lenve/VBlog,6211,0,3
307,checkstyle/checkstyle,https://github.com/checkstyle/checkstyle,6208,107,8
308,spring-projects/spring-security,https://github.com/spring-projects/spring-security,6205,74,9
309,wildfirechat/server,https://github.com/wildfirechat/server,6204,48,2
310,Meituan-Dianping/walle,https://github.com/Meituan-Dianping/walle,6190,1,4
311,k9mail/k-9,https://github.com/k9mail/k-9,6175,112,10
312,markzhai/AndroidPerformanceMonitor,https://github.com/markzhai/AndroidPerformanceMonitor,6164,0,5
313,ionic-team/capacitor,https://github.com/ionic-team/capacitor,6157,63,3
314,google/closure-compiler,https://github.com/google/closure-compiler,6138,0,7
315,ikew0ng/SwipeBackLayout,https://github.com/ikew0ng/SwipeBackLayout,6123,0,8
316,rengwuxian/MaterialEditText,https://github.com/rengwuxian/MaterialEditText,6105,19,6
317,flyway/flyway,https://github.com/flyway/flyway,6095,109,8
318,zo0r/react-native-push-notification,https://github.com/zo0r/react-native-push-notification,6086,34,5
319,guardianproject/haven,https://github.com/guardianproject/haven,6066,37,4
320,rey5137/material,https://github.com/rey5137/material,6064,10,6
321,SonarSource/sonarqube,https://github.com/SonarSource/sonarqube,6063,11,10
322,pedrovgs/EffectiveAndroidUI,https://github.com/pedrovgs/EffectiveAndroidUI,6061,0,7
323,NanoHttpd/nanohttpd,https://github.com/NanoHttpd/nanohttpd,6047,3,9
324,dromara/Sa-Token,https://github.com/dromara/Sa-Token,6039,20,1
325,google/physical-web,https://github.com/google/physical-web,6037,17,6
326,TechEmpower/FrameworkBenchmarks,https://github.com/TechEmpower/FrameworkBenchmarks,6021,15,8
327,processing/processing,https://github.com/processing/processing,5988,48,8
328,NLPchina/ansj_seg,https://github.com/NLPchina/ansj_seg,5984,3,9
329,smuyyh/BookReader,https://github.com/smuyyh/BookReader,5965,0,5
330,antoniolg/androidmvp,https://github.com/antoniolg/androidmvp,5957,0,7
331,zouzg/mybatis-generator-gui,https://github.com/zouzg/mybatis-generator-gui,5948,16,5
332,singwhatiwanna/dynamic-load-apk,https://github.com/singwhatiwanna/dynamic-load-apk,5947,0,7
333,daimajia/NumberProgressBar,https://github.com/daimajia/NumberProgressBar,5936,3,7
334,li-xiaojun/XPopup,https://github.com/li-xiaojun/XPopup,5917,155,2
335,aa112901/remusic,https://github.com/aa112901/remusic,5913,0,5
336,wyouflf/xUtils3,https://github.com/wyouflf/xUtils3,5902,9,5
337,ArthurHub/Android-Image-Cropper,https://github.com/ArthurHub/Android-Image-Cropper,5881,32,6
338,Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,5837,28,11
339,react-native-video/react-native-video,https://github.com/react-native-video/react-native-video,5837,5,6
340,kekingcn/kkFileView,https://github.com/kekingcn/kkFileView,5830,10,3
341,google/j2objc,https://github.com/google/j2objc,5824,39,7
342,AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client,5819,0,10
343,springside/springside4,https://github.com/springside/springside4,5805,3,9
344,cryptomator/cryptomator,https://github.com/cryptomator/cryptomator,5764,111,7
345,ityouknow/spring-cloud-examples,https://github.com/ityouknow/spring-cloud-examples,5755,0,4
346,JakeWharton/u2020,https://github.com/JakeWharton/u2020,5734,0,7
347,Nightonke/BoomMenu,https://github.com/Nightonke/BoomMenu,5731,0,5
