,nameWithOwner,url,stargazers,releases,age
311,weibocom/motan,https://github.com/weibocom/motan,5714,16,5
312,Devlight/InfiniteCycleViewPager,https://github.com/Devlight/InfiniteCycleViewPager,5696,2,5
313,google/error-prone,https://github.com/google/error-prone,5683,15,7
314,real-logic/aeron,https://github.com/real-logic/aeron,5668,76,7
315,nhaarman/ListViewAnimations,https://github.com/nhaarman/ListViewAnimations,5642,14,8
316,sohutv/cachecloud,https://github.com/sohutv/cachecloud,5636,5,5
317,JakeWharton/DiskLruCache,https://github.com/JakeWharton/DiskLruCache,5619,0,9
318,react-native-svg/react-native-svg,https://github.com/react-native-svg/react-native-svg,5611,75,5
319,wasabeef/richeditor-android,https://github.com/wasabeef/richeditor-android,5609,0,6
320,sshahine/JFoenix,https://github.com/sshahine/JFoenix,5600,0,5
321,ximsfei/Android-skin-support,https://github.com/ximsfei/Android-skin-support,5572,0,4
322,febsteam/FEBS-Shiro,https://github.com/febsteam/FEBS-Shiro,5562,0,3
323,amlcurran/ShowcaseView,https://github.com/amlcurran/ShowcaseView,5561,13,9
324,lets-blade/blade,https://github.com/lets-blade/blade,5548,9,6
325,joelittlejohn/jsonschema2pojo,https://github.com/joelittlejohn/jsonschema2pojo,5546,58,8
326,hongyangAndroid/FlowLayout,https://github.com/hongyangAndroid/FlowLayout,5524,0,6
327,dmytrodanylyk/circular-progress-button,https://github.com/dmytrodanylyk/circular-progress-button,5517,0,7
328,emilsjolander/StickyListHeaders,https://github.com/emilsjolander/StickyListHeaders,5515,16,9
329,apache/jmeter,https://github.com/apache/jmeter,5506,0,11
330,yarolegovich/DiscreteScrollView,https://github.com/yarolegovich/DiscreteScrollView,5501,2,4
331,rabbitmq/rabbitmq-tutorials,https://github.com/rabbitmq/rabbitmq-tutorials,5498,0,10
332,k0shk0sh/FastHub,https://github.com/k0shk0sh/FastHub,5495,63,4
333,rest-assured/rest-assured,https://github.com/rest-assured/rest-assured,5494,0,10
334,liyifeng1994/ssm,https://github.com/liyifeng1994/ssm,5494,0,5
335,alibaba/COLA,https://github.com/alibaba/COLA,5478,3,3
336,metersphere/metersphere,https://github.com/metersphere/metersphere,5477,95,1
337,alibaba/freeline,https://github.com/alibaba/freeline,5473,22,5
338,facebookarchive/rebound,https://github.com/facebookarchive/rebound,5472,10,7
339,jpush/aurora-imui,https://github.com/jpush/aurora-imui,5470,42,4
340,sockeqwe/mosby,https://github.com/sockeqwe/mosby,5457,15,6
341,mrniko/netty-socketio,https://github.com/mrniko/netty-socketio,5444,3,9
342,dm77/barcodescanner,https://github.com/dm77/barcodescanner,5409,6,7
343,jgilfelt/SystemBarTint,https://github.com/jgilfelt/SystemBarTint,5402,3,7
344,apache/zeppelin,https://github.com/apache/zeppelin,5388,0,6
345,evant/gradle-retrolambda,https://github.com/evant/gradle-retrolambda,5383,37,8
346,evernote/android-job,https://github.com/evernote/android-job,5376,31,6
347,lightbend/config,https://github.com/lightbend/config,5375,0,9
