Unnamed: 0,nameWithOwner,url,stargazers,releases,age,loc,cbo,dit,lcom
108,zhihu/Matisse,https://github.com/zhihu/Matisse,12076,15,4,0.0,0.0,0.0,0.0
109,arduino/Arduino,https://github.com/arduino/Arduino,12033,33,10,0.0,0.0,0.0,0.0
110,daimajia/AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,11917,9,7,0.0,0.0,0.0,0.0
111,apache/hadoop,https://github.com/apache/hadoop,11914,0,7,0.0,0.0,0.0,0.0
112,JessYanCoding/AndroidAutoSize,https://github.com/JessYanCoding/AndroidAutoSize,11813,14,3,0.0,0.0,0.0,0.0
113,YunaiV/SpringBoot-Labs,https://github.com/YunaiV/SpringBoot-Labs,11784,0,2,0.0,0.0,0.0,0.0
114,pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint,11655,47,6,0.0,0.0,0.0,0.0
115,baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,11642,21,5,0.0,0.0,0.0,0.0
116,Tencent/APIJSON,https://github.com/Tencent/APIJSON,11547,82,4,0.0,0.0,0.0,0.0
117,youth5201314/banner,https://github.com/youth5201314/banner,11482,0,5,0.0,0.0,0.0,0.0
118,Anuken/Mindustry,https://github.com/Anuken/Mindustry,11417,128,4,0.0,0.0,0.0,0.0
119,Tencent/VasSonic,https://github.com/Tencent/VasSonic,11386,10,4,0.0,0.0,0.0,0.0
120,Netflix/zuul,https://github.com/Netflix/zuul,11261,5,8,0.0,0.0,0.0,0.0
121,realm/realm-java,https://github.com/realm/realm-java,11187,0,9,0.0,0.0,0.0,0.0
122,jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,11179,0,9,0.0,0.0,0.0,0.0
123,androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,11158,0,9,0.0,0.0,0.0,0.0
124,apache/druid,https://github.com/apache/druid,11116,46,8,0.0,0.0,0.0,0.0
125,Yalantis/uCrop,https://github.com/Yalantis/uCrop,10870,13,5,0.0,0.0,0.0,0.0
126,openjdk/jdk,https://github.com/openjdk/jdk,10842,0,2,0.0,0.0,0.0,0.0
127,sqshq/piggymetrics,https://github.com/sqshq/piggymetrics,10805,2,6,0.0,0.0,0.0,0.0
128,alibaba/vlayout,https://github.com/alibaba/vlayout,10803,34,4,0.0,0.0,0.0,0.0
129,williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,10789,0,4,0.0,0.0,0.0,0.0
